datetime,inflow,total release,evaporation,bank storage,storage,unregulated inflow,pool elevation,power release,area,bypass release
1963-03-11,4751.424,,,,,,,,,
1963-03-12,4680.234,,,,,,,,,
1963-03-13,4645.656,,,,,,,,,
1963-03-14,4748.373,1300.0,0.0,,,,,,,
1963-03-15,4730.067,1260.0,0.0,,,,,,,
1963-03-16,4793.121,1220.0,0.0,,,,,,,
1963-03-17,4748.373,1260.0,0.0,,,,,,,
1963-03-18,4531.752,1210.0,0.0,,,,,,,
1963-03-19,4594.806,1080.0,0.0,,,,,,,
1963-03-20,4371.066,1050.0,0.0,,,,,,,
1963-03-21,4556.16,1060.0,0.0,,,,,,,
1963-03-22,4501.242,1060.0,0.0,,,,,,,
1963-03-23,4436.154,1050.0,0.0,,,,,,,
1963-03-24,4444.29,1050.0,0.0,,,,,,,
1963-03-25,5074.83,1060.0,0.0,,,,,,,
1963-03-26,6232.176,1050.0,0.0,,,,,,,
1963-03-27,7468.848,1050.0,0.0,,,,,,,
1963-03-28,8034.3,1040.0,0.0,,,,,,,
1963-03-29,8307.873,1050.0,0.0,,,,,,,
1963-03-30,9041.13,1030.0,0.0,,,,,,,
1963-03-31,9742.86,1040.0,0.0,,,,,,,
1963-04-01,10390.38,1030.0,0.0,,,,,,,
1963-04-02,11199.155,1030.0,0.0,,,,,,,
1963-04-03,11123.035,1030.0,0.0,,,,,,,
1963-04-04,10809.04,1030.0,0.0,,,,,,,
1963-04-05,10019.295,1040.0,0.0,,,,,,,
1963-04-06,9191.49,1020.0,0.0,,,,,,,
1963-04-07,8243.796,1020.0,0.0,,,,,,,
1963-04-08,7803.2515,1030.0,0.0,,,,,,,
1963-04-09,7382.6885,1020.0,0.0,,,,,,,
1963-04-10,7520.656,1020.0,0.0,,,,,,,
1963-04-11,7991.6485,990.0,0.0,,,,,,,
1963-04-12,8078.235,990.0,0.0,,,,,,,
1963-04-13,7945.025,1010.0,0.0,,,,,,,
1963-04-14,7304.6655,1020.0,0.0,,,,,,,
1963-04-15,6745.1835,1020.0,0.0,,,,,,,
1963-04-16,7678.605,1010.0,0.0,,,,,,,
1963-04-17,8906.04,980.0,0.0,,,,,,,
1963-04-18,10257.17,990.0,0.0,,,,,,,
1963-04-19,10133.475,1010.0,0.0,,,,,,,
1963-04-20,8734.77,1010.0,0.0,,,,,,,
1963-04-21,7631.03,1010.0,0.0,,,,,,,
1963-04-22,6831.77,1020.0,0.0,,,,,,,
